"Zip Code","Date","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population"
"60610","04/28/2021",490,38317,373,16648,0.411,40548
"60610","04/29/2021",536,38853,388,17036,0.42,40548
"60610","04/30/2021",492,39345,340,17376,0.429,40548
"60603","12/11/2021",5,3618,1,1366,1.3,1052
"60603","12/12/2021",6,3624,3,1369,1.3,1052
"60603","12/13/2021",6,3630,0,1369,1.3,1052
"60603","12/14/2021",11,3641,1,1370,1.3,1052
"60603","12/15/2021",20,3661,4,1374,1.31,1052
"60603","12/16/2021",18,3679,0,1374,1.31,1052
"60603","12/17/2021",15,3694,0,1374,1.31,1052
"60603","12/18/2021",8,3702,0,1374,1.31,1052
"60603","12/19/2021",2,3704,1,1375,1.31,1052
"60603","12/20/2021",15,3719,1,1376,1.31,1052
"60603","12/21/2021",9,3728,2,1378,1.31,1052
"60603","12/22/2021",14,3742,4,1382,1.31,1052
"60603","12/23/2021",9,3751,0,1382,1.31,1052
"60610","05/01/2021",228,39573,166,17542,0.433,40548
"60610","05/02/2021",148,39721,114,17656,0.435,40548
"60610","05/03/2021",273,39994,238,17894,0.441,40548
"60610","05/04/2021",469,40463,351,18245,0.45,40548
"60610","05/05/2021",413,40876,310,18555,0.458,40548
"60610","05/06/2021",403,41279,312,18867,0.465,40548
"60610","05/07/2021",310,41589,233,19100,0.471,40548
"60610","05/08/2021",194,41783,152,19252,0.475,40548
"60610","05/09/2021",82,41865,68,19320,0.476,40548
"60603","12/24/2021",5,3756,4,1386,1.32,1052
"60603","12/25/2021",0,3756,0,1386,1.32,1052
"60603","12/26/2021",13,3769,0,1386,1.32,1052
"60603","12/27/2021",11,3780,0,1386,1.32,1052
"60603","12/28/2021",16,3796,1,1387,1.32,1052
"60603","12/29/2021",9,3805,0,1387,1.32,1052
"60603","12/30/2021",20,3825,0,1387,1.32,1052
"60603","12/31/2021",4,3829,0,1387,1.32,1052
"60603","01/01/2022",1,3830,0,1387,1.32,1052
"60603","01/02/2022",5,3835,0,1387,1.32,1052
"60610","05/10/2021",207,42072,156,19476,0.48,40548
"60610","05/11/2021",376,42448,313,19789,0.488,40548
"60610","05/12/2021",341,42789,276,20065,0.495,40548
"60610","05/13/2021",694,43483,561,20626,0.509,40548
"60603","01/03/2022",8,3843,0,1387,1.32,1052
"60603","01/04/2022",10,3853,2,1389,1.32,1052
"60603","01/05/2022",12,3865,0,1389,1.32,1052
"60603","01/06/2022",6,3871,1,1390,1.32,1052
"60603","01/07/2022",11,3882,0,1390,1.32,1052
"60603","01/08/2022",4,3886,1,1391,1.32,1052
"60603","01/09/2022",1,3887,0,1391,1.32,1052
"60603","01/10/2022",11,3898,0,1391,1.32,1052
"60603","01/11/2022",16,3914,1,1392,1.32,1052
"60603","01/12/2022",5,3919,0,1392,1.32,1052
"60603","01/13/2022",9,3928,0,1392,1.32,1052
"60603","01/14/2022",12,3940,0,1392,1.32,1052
"60603","01/15/2022",3,3943,0,1392,1.32,1052
"60603","01/16/2022",3,3946,0,1392,1.32,1052
"60603","01/17/2022",8,3954,2,1394,1.33,1052
"60603","01/18/2022",8,3962,4,1398,1.33,1052
"60603","01/19/2022",8,3970,2,1400,1.33,1052
"60603","01/20/2022",13,3983,2,1402,1.33,1052
"60603","01/21/2022",8,3991,0,1402,1.33,1052
"60603","01/22/2022",6,3997,0,1402,1.33,1052
"60603","01/23/2022",0,3997,0,1402,1.33,1052
"60603","01/24/2022",10,4007,0,1402,1.33,1052
"60603","01/25/2022",4,4011,0,1402,1.33,1052
"60603","01/26/2022",12,4023,1,1403,1.33,1052
"60603","01/27/2022",8,4031,2,1405,1.34,1052
"60603","01/28/2022",11,4042,1,1406,1.34,1052
"60603","01/29/2022",10,4052,1,1407,1.34,1052
"60603","01/30/2022",1,4053,0,1407,1.34,1052
"60603","01/31/2022",3,4056,0,1407,1.34,1052
"60603","02/02/2022",9,4067,3,1411,1.34,1052
"60603","02/03/2022",11,4078,1,1412,1.34,1052
"60603","02/04/2022",24,4102,4,1416,1.35,1052
"60603","02/05/2022",6,4108,1,1417,1.35,1052
"60603","02/06/2022",2,4110,0,1417,1.35,1052
"60603","02/08/2022",6,4120,0,1417,1.35,1052
"60603","02/14/2022",8,4151,1,1420,1.35,1052
"60603","02/21/2022",18,4196,0,1421,1.35,1052
"60603","02/22/2022",4,4200,1,1422,1.35,1052
"60603","02/23/2022",2,4202,0,1422,1.35,1052
"60603","02/25/2022",3,4213,1,1424,1.35,1052
"60603","02/28/2022",6,4223,0,1424,1.35,1052
"60603","03/08/2022",4,4248,0,1424,1.35,1052
"60610","05/14/2021",371,43854,242,20868,0.515,40548
"60610","05/15/2021",269,44123,178,21046,0.519,40548
"60610","05/16/2021",207,44330,138,21184,0.522,40548
"60610","05/17/2021",230,44560,134,21318,0.526,40548
"60610","05/18/2021",287,44847,172,21490,0.53,40548
"60610","05/19/2021",257,45104,167,21657,0.534,40548
"60610","05/20/2021",171,45275,98,21755,0.537,40548
"60610","05/21/2021",278,45553,191,21946,0.541,40548
"60610","05/22/2021",139,45692,74,22020,0.543,40548
"60610","05/23/2021",77,45769,38,22058,0.544,40548
"60610","05/24/2021",177,45946,119,22177,0.547,40548
"60610","05/25/2021",152,46098,107,22284,0.55,40548
"60610","05/26/2021",176,46274,126,22410,0.553,40548
"60610","05/27/2021",112,46386,82,22492,0.555,40548
"60601","02/05/2022",38,33486,4,12381,0.821,15083
"60601","02/06/2022",31,33517,0,12381,0.821,15083
"60601","02/08/2022",27,33598,8,12398,0.822,15083
"60601","02/14/2022",22,33770,6,12435,0.824,15083
"60601","02/21/2022",30,33896,5,12459,0.826,15083
"60601","02/22/2022",15,33911,3,12462,0.826,15083
"60601","02/26/2022",17,33997,3,12474,0.827,15083
"60605","02/12/2021",267,7598,153,2605,0.09,29060
"60605","02/24/2021",174,9330,103,3572,0.123,29060
"60601","02/27/2022",11,34008,0,12474,0.827,15083
"60605","02/25/2021",252,9582,173,3745,0.129,29060
"60605","03/16/2021",275,13332,131,5478,0.189,29060
"60605","03/17/2021",244,13576,73,5551,0.191,29060
"60605","03/22/2021",318,14868,52,5870,0.202,29060
"60605","03/29/2021",383,17171,86,6553,0.225,29060
"60605","04/18/2021",185,25380,126,10219,0.352,29060
"60605","04/19/2021",475,25855,342,10561,0.363,29060
"60605","04/20/2021",596,26451,352,10913,0.376,29060
"60605","04/21/2021",592,27043,319,11232,0.387,29060
"60605","04/22/2021",618,27661,276,11508,0.396,29060
"60605","04/23/2021",526,28187,290,11798,0.406,29060
"60605","04/24/2021",358,28545,182,11980,0.412,29060
"60605","04/25/2021",105,28650,39,12019,0.414,29060
"60605","04/26/2021",362,29012,259,12278,0.423,29060
"60605","04/27/2021",484,29496,399,12677,0.436,29060
"60605","04/28/2021",364,29860,286,12963,0.446,29060
"60605","04/29/2021",384,30244,276,13239,0.456,29060
"60605","04/30/2021",451,30695,312,13551,0.466,29060
"60605","05/01/2021",249,30944,169,13720,0.472,29060
"60605","05/02/2021",88,31032,67,13787,0.474,29060
"60605","05/03/2021",253,31285,213,14000,0.482,29060
"60605","05/04/2021",348,31633,283,14283,0.492,29060
"60605","05/05/2021",294,31927,224,14507,0.499,29060
"60605","05/06/2021",307,32234,246,14753,0.508,29060
"60605","05/07/2021",326,32560,248,15001,0.516,29060
